IP Address,Timestamp,Packet Loss,Min RTT,Ave RTT,Max RTT,Bandwidth, Packet Delay Variation
192.168.0.1,56:41.7,0,2.105951309,6.099452972,86.0915184,0.010492744,0.001971283
192.168.0.2,00:52.6,0,1.45816803,2.262835503,5.05900383,0.028283099,0.001181068
192.168.0.3,01:24.7,100,999999999,0,0,0,0
192.168.0.1,01:41.7,0,1.809358597,4.386258125,45.57013512,0.014591025,0.000427732
192.168.0.2,05:53.4,0,1.742124557,3.241782188,49.67880249,0.019742227,0.00361249
192.168.0.1,06:42.5,0,2.140522003,3.903183937,33.84494781,0.01639687,0.002843704
192.168.0.2,10:52.6,0,1.58405304,3.149466515,14.50610161,0.020320902,0.001918335
192.168.0.1,11:41.7,0,2.101421356,4.520916939,21.20161057,0.01415642,0.001984568
192.168.0.4,12:34.1,0,2.868890762,139.2171001,3003.386974,0.000459714,0.093244104
192.168.0.1,20:53.5,0,2.191543579,8.03686142,135.0929737,0.007963308,-0.005257883
192.168.0.2,21:42.6,0,1.274824142,2.632808685,15.09928703,0.024308641,0.001074648
192.168.0.4,22:31.8,0,2.881765366,83.7080574,293.705225,0.000764562,0.018415174
192.168.0.2,25:53.5,0,1.613140106,3.303041458,53.21097374,0.019376081,-0.000421381
192.168.0.1,26:42.5,0,2.139806747,5.610775948,89.55049515,0.011406622,0.005590525
192.168.0.2,30:53.5,0,1.493930817,2.756357193,12.34054565,0.023219052,0.001358767
192.168.0.1,31:42.6,0,1.961946487,7.179088593,114.4599915,0.008914781,0.0021597
192.168.0.2,35:53.4,0,1.69634819,3.302145004,57.36088753,0.019381341,0.00403862
192.168.0.4,36:41.5,100,999999999,0,0,0,0
192.168.0.1,36:42.5,0,2.119541168,6.748166084,109.8330021,0.009484058,0.008098516
192.168.0.2,40:52.7,0,1.754045486,2.561593056,6.689548492,0.024984452,0.001526585
192.168.0.1,41:41.8,0,2.113103867,4.614276886,57.46173859,0.013869996,0.002968016
192.168.0.2,45:52.7,0,1.540660858,3.001580238,36.58556938,0.021322102,0.000483541
192.168.0.1,46:41.8,0,2.114534378,5.494446754,98.01411629,0.011648125,-0.003907681
192.168.0.1,50:53.5,0,2.081394196,6.114654541,122.1842766,0.010466658,0.004592686
192.168.0.2,51:42.6,0,1.714944839,2.253375053,5.487442017,0.028401841,0.001694012
192.168.0.2,55:53.3,0,1.546859741,2.16132164,4.818916321,0.029611511,0.001671181
192.168.0.1,56:42.4,0,2.013683319,5.241389275,97.1262455,0.012210503,0.007532454
192.168.0.2,00:53.3,0,1.604318619,3.090281487,14.60528374,0.020710088,0.001690121
192.168.0.1,01:42.5,0,1.931905746,26.91944122,1070.649624,0.002377464,0.039495506
192.168.0.2,05:53.2,0,1.608133316,2.660441399,19.80400085,0.024056159,0.000632429
192.168.0.1,06:42.3,0,2.039909363,5.753121376,116.0423756,0.011124396,-0.001585627
192.168.0.2,10:53.5,0,1.626729965,2.464671135,9.526491165,0.025966953,0.00112422
192.168.0.4,11:41.6,100,999999999,0,0,0,0
192.168.0.1,11:42.6,0,2.056837082,5.153384209,67.08145142,0.012419024,0.000632544
192.168.0.1,15:53.3,0,1.834392548,4.707379341,77.71229744,0.013595675,-0.000221167
192.168.0.2,16:42.4,0,1.635551453,2.239661217,5.888462067,0.02857575,0.001815042
192.168.0.4,17:31.5,0,2.807617188,61.04239941,262.8571987,0.001048452,0.007071667
192.168.0.2,25:52.8,0,1.400709152,3.50672245,55.76229095,0.01825066,-0.000164461
192.168.0.3,25:55.8,100,999999999,0,0,0,0
192.168.0.1,26:41.9,0,2.068996429,4.175758362,46.70953751,0.015326557,0.001679792
192.168.0.4,27:31.1,0,2.903461456,91.0961628,226.3350487,0.000702554,-0.018111191
192.168.0.2,30:52.8,0,1.695871353,2.032957077,3.916501999,0.031481235,0.001915531
192.168.0.1,31:41.9,0,2.121448517,5.893650055,109.6208096,0.010859145,-0.001151428
192.168.0.4,32:31.0,0,2.735853195,80.31297684,140.8350468,0.000796882,-0.00305521
192.168.0.2,35:52.7,0,1.792669296,3.338155746,55.08470535,0.019172263,-0.000442028
192.168.0.1,36:41.8,0,1.989126205,25.46195507,1014.914036,0.002513554,-0.042984076
192.168.0.4,37:31.0,0,2.84075737,76.78491116,142.9080963,0.000833497,-0.004362383
192.168.0.2,40:53.2,0,1.705169678,2.464957237,15.76423645,0.025963939,0.002636366
192.168.0.1,41:42.3,0,2.165555954,5.094308853,91.76158905,0.012563039,-0.001241026
192.168.0.4,42:31.5,0,2.897977829,99.75771427,326.7583847,0.000641554,-0.001327705
192.168.0.2,45:53.2,0,1.730203629,7.231683731,91.12262726,0.008849945,0.001903715
192.168.0.1,46:42.3,0,2.100229263,26.55721664,1007.077694,0.002409891,0.044093437
192.168.0.4,47:31.4,0,2.684593201,59.471488,238.638401,0.001076146,-0.015659466
192.168.0.2,50:53.2,0,1.425981522,2.096505165,4.675865173,0.030526994,0.001595297
192.168.0.1,51:42.3,0,2.038478851,7.184028625,123.5125065,0.00890865,0.003158827
192.168.0.4,52:31.4,0,2.724409103,50.33522606,248.6817837,0.001271475,-0.015511503
192.168.0.2,55:53.1,0,1.700639725,3.261384964,50.6310463,0.019623565,0.003281469
192.168.0.1,56:42.3,0,1.924276352,26.42309189,1079.304934,0.002422124,0.048887577
192.168.0.2,00:53.0,0,1.730442047,2.17915535,5.709409714,0.029369177,0.001780939
192.168.0.1,01:42.1,0,2.102375031,6.685352325,119.931221,0.009573168,-0.003724928
192.168.0.2,05:52.8,0,1.754999161,3.320431709,52.37770081,0.019274602,0.003667154
192.168.0.1,06:41.9,0,2.12430954,25.86030483,1033.880472,0.002474835,-0.043468304
192.168.0.2,10:53.3,0,1.558303833,2.376480103,7.962226868,0.026930585,0.001471539
192.168.0.1,11:42.4,0,1.950263977,4.570713043,77.7130127,0.014002192,0.004849253
192.168.0.2,20:53.0,0,1.732110977,2.608971596,7.603645325,0.024530739,0.001615982
192.168.0.1,21:42.2,0,1.706361771,27.16490746,1100.067854,0.002355981,0.050270548
192.168.0.2,25:53.0,0,1.528501511,2.387785912,11.4607811,0.026803073,0.001340227
192.168.0.1,26:42.1,0,2.069950104,11.25474453,367.3782349,0.005686491,-0.012082882
192.168.0.3,27:31.2,0,4.060745239,49.91927147,115.8783436,0.00128207,0.008209467
192.168.0.2,30:52.7,0,1.706600189,2.856254578,35.16483307,0.022406966,0.000189304
192.168.0.1,31:41.8,0,1.970052719,5.108566284,62.11972237,0.012527977,0.003323822
192.168.0.2,35:52.7,0,1.538038254,3.659152985,60.15372276,0.017490387,-0.000468874
192.168.0.1,36:41.8,0,1.665115356,5.098958015,77.84223557,0.012551584,-0.000561066
192.168.0.2,40:53.0,0,1.725196838,2.200760841,4.138708115,0.029080852,0.001837282
192.168.0.1,41:42.1,0,2.051830292,6.274971962,100.9542942,0.010199249,0.006322308
192.168.0.2,45:52.8,0,1.425981522,2.958102226,38.50269318,0.021635493,0.003230743
192.168.0.1,46:41.9,0,2.093076706,2.635817528,9.433746338,0.024280892,0.001411877
192.168.0.4,47:31.8,0,2.686977386,104.6428823,1806.908369,0.000611604,-0.018736601
192.168.0.2,50:53.6,0,1.650810242,2.55048275,7.141828537,0.025093289,0.000820971
192.168.0.1,51:42.7,0,2.051591873,20.26347637,106.6174507,0.003158392,-0.000371733
